,pitcher,SwOE_Balls,SwUE_Strikes,Deception_Over_Expectation
204,Aaron Civale,-0.01192531,0.027502267,0.015576957
232,Taijuan Walker,-0.017006517,0.032560293,0.015553777
151,Blake Snell,0.005432813,0.009681373,0.015114186
311,Jeremy Jeffress,-0.05063571,0.06566369,0.01502798
187,Aaron Loup,-0.006285607,0.021047114,0.014761507
198,Ryan Tepera,-0.010092091,0.02354542,0.013453329
335,Dan Altavilla,-0.064611449,0.077519975,0.012908526
243,Rich Hill,-0.021318479,0.033660779,0.0123423
166,Cal Quantrill,-0.000258777,0.012584963,0.012326187
246,James Karinchak,-0.021993976,0.034084461,0.012090485
132,Brooks Raley,0.010303163,0.001605048,0.011908212
195,Josh Tomlin,-0.008753782,0.02008994,0.011336159
275,Spencer Howard,-0.031486318,0.042434186,0.010947868
86,Josh A. Smith,0.026130532,-0.01539955,0.010730982
56,Shane Bieber,0.039783446,-0.029207127,0.010576319
182,Matt Strahm,-0.005519164,0.01600626,0.010487097
119,Dylan Bundy,0.014782977,-0.00444687,0.010336107
71,Ryan Thompson,0.032962707,-0.023476732,0.009485976
19,Charlie Morton,0.060445661,-0.051027076,0.009418585
158,Jake Diekman,0.002320516,0.007019561,0.009340076
84,Josh James,0.027263497,-0.018520681,0.008742815
190,Geoff Hartlieb,-0.007320895,0.015961817,0.008640922
63,Buck Farmer,0.035273686,-0.026661275,0.008612411
135,Clayton Kershaw,0.009911828,-0.001590339,0.008321489
224,Tyler Alexander,-0.015356687,0.022897998,0.007541311
95,Huascar Ynoa,0.024217458,-0.016766205,0.007451253
197,Will Harris,-0.009832268,0.016568848,0.00673658
292,Taylor Hearn,-0.038805235,0.045496847,0.006691611
160,Mark Melancon,0.002120358,0.002415861,0.004536219
72,Phillips Valdez,0.032385631,-0.029112982,0.003272648
113,Blake Treinen,0.017716815,-0.014946261,0.002770554
61,Yusmeiro Petit,0.037206494,-0.035293592,0.001912901
199,Alec Mills,-0.011189924,0.012983735,0.001793811
222,Matt Foster,-0.014159628,0.0149876,0.000827972
289,Wilmer Font,-0.036225596,0.036819984,0.000594388
134,Chad Green,0.010066079,-0.009897151,0.000168928
94,Tyler Anderson,0.025094354,-0.025028862,6.55E-05
100,Cole Sulser,0.02192538,-0.021865279,6.01E-05
192,Vince Velasquez,-0.007401908,0.006476909,-0.000924999
174,Ty Buttrey,-0.003035908,0.001753694,-0.001282214
180,Justus Sheffield,-0.005368796,0.002765077,-0.002603719
32,Travis Lakins Sr.,0.05254656,-0.055346559,-0.002799999
256,Kyle Freeland,-0.024817549,0.021770038,-0.003047511
161,Matt Wisler,0.001623135,-0.004831569,-0.003208434
54,Edwin Diaz,0.041939698,-0.045615683,-0.003675985
262,Felix Pena,-0.027727318,0.022496266,-0.005231052
145,Wander Suero,0.007294115,-0.012602832,-0.005308717
43,Jake Newberry,0.048640396,-0.054251436,-0.005611039
138,Lou Trivino,0.00924873,-0.015021246,-0.005772516
69,Andrew Heaney,0.033152747,-0.039528127,-0.006375381
217,Patrick Corbin,-0.013557359,0.007106366,-0.006450993
205,Zack Greinke,-0.011943443,0.005489178,-0.006454265
249,Steve Cishek,-0.023028942,0.016523983,-0.006504959
293,Miguel Castro,-0.039319048,0.032585109,-0.006733938
280,David Phelps,-0.032477114,0.024795475,-0.007681639
191,Mike Mayers,-0.007345802,-0.000581043,-0.007926845
281,Josh Hader,-0.032665979,0.024637021,-0.008028958
261,Thomas Eshelman,-0.026821859,0.018692545,-0.008129314
253,Richard Rodriguez,-0.024205786,0.016070651,-0.008135135
83,Stefan Crichton,0.027832221,-0.037318334,-0.009486112
185,Walker Buehler,-0.005992748,-0.00395101,-0.009943758
213,Kendall Graveman,-0.013276849,0.003323328,-0.009953521
283,Chad Kuhl,-0.033560459,0.023289156,-0.010271303
234,Johnny Cueto,-0.017515554,0.00679357,-0.010721984
127,Adam Wainwright,0.011654728,-0.022672255,-0.011017528
216,Tim Hill,-0.01351288,0.002465712,-0.011047168
252,Luke Weaver,-0.024175007,0.012614398,-0.011560609
329,Matt Barnes,-0.057859597,0.046187468,-0.011672129
278,Paul Fry,-0.032056082,0.020084209,-0.011971874
250,Rick Porcello,-0.023181718,0.010633246,-0.012548472
297,Julio Teheran,-0.0406674,0.028075838,-0.012591562
272,Justin Dunn,-0.030424739,0.017722164,-0.012702575
176,Mike Fiers,-0.004824404,-0.007927648,-0.012752052
239,Ryan Weber,-0.019121065,0.006160445,-0.01296062
99,Aaron Nola,0.022199314,-0.035335088,-0.013135773
221,Jeff Hoffman,-0.014051407,-6.42E-05,-0.014115591
90,Jacob deGrom,0.025827396,-0.039950303,-0.014122908
125,Dakota Hudson,0.01184763,-0.026296394,-0.014448765
117,Trevor Bauer,0.015384067,-0.030467411,-0.015083344
266,Pete Fairbanks,-0.028900313,0.012702005,-0.016198308
193,Luis Castillo,-0.007757448,-0.008492572,-0.01625002
257,Anibal Sanchez,-0.024896307,0.008383078,-0.01651323
165,Emilio Pagan,2.41E-05,-0.017170969,-0.01714691
201,Brent Suter,-0.011261446,-0.006434303,-0.017695749
245,Jace Fry,-0.021574748,0.003089044,-0.018485704
149,Jimmy Cordero,0.005891319,-0.025533771,-0.019642452
183,Trevor May,-0.005816228,-0.014553495,-0.020369723
211,Triston McKenzie,-0.013062541,-0.007696986,-0.020759527
144,Shun Yamaguchi,0.007752536,-0.028887679,-0.021135144
274,Michael King,-0.030844222,0.009088912,-0.02175531
260,Daniel Norris,-0.026750161,0.00497167,-0.021778491
229,Brad Boxberger,-0.016751889,-0.005835169,-0.022587059
163,Yency Almonte,0.00145309,-0.024649978,-0.023196888
242,Nik Turley,-0.020660687,-0.002760122,-0.02342081
279,Kenley Jansen,-0.032403253,0.008926811,-0.023476442
254,Tanner Roark,-0.024292207,1.77E-05,-0.024274459
89,Yu Darvish,0.025938824,-0.050551534,-0.024612711
116,Jared Hughes,0.01591181,-0.040786642,-0.024874831
70,Max Scherzer,0.033147837,-0.058197227,-0.02504939
264,Jakob Junis,-0.028510497,0.003200281,-0.025310216
143,Taylor Rogers,0.007992025,-0.033787892,-0.025795867
230,Sergio Romo,-0.016880129,-0.009827939,-0.026708068
322,Cristian Javier,-0.055308118,0.028393136,-0.026914982
168,Hyun Jin Ryu,-0.001045428,-0.026847132,-0.027892561
215,Sam Howard,-0.013455385,-0.01504712,-0.028502505
233,Dustin May,-0.017163632,-0.011652937,-0.028816569
321,Raisel Iglesias,-0.055053099,0.025805018,-0.029248081
214,Brandon Woodruff,-0.01331107,-0.018060912,-0.031371982
87,Nate Jones,0.025972853,-0.057395767,-0.031422914
184,Johan Oviedo,-0.005921095,-0.025563138,-0.031484233
206,Antonio Senzatela,-0.012416789,-0.019631198,-0.032047987
298,Cy Sneed,-0.040955747,0.008713366,-0.032242381
277,Kyle Finnegan,-0.031771147,-0.000481163,-0.03225231
241,Tyler Mahle,-0.020388915,-0.01199616,-0.032385075
133,Ryan Borucki,0.010134506,-0.044959222,-0.034824716
269,Kyle Wright,-0.029925182,-0.006130887,-0.036056069
247,Hansel Robles,-0.022604536,-0.014726969,-0.037331505
248,Drew Pomeranz,-0.022899985,-0.014956989,-0.037856974
244,Jesus Luzardo,-0.021387162,-0.016527719,-0.03791488
196,Zack Wheeler,-0.009268439,-0.029707633,-0.038976072
220,Eric Yardley,-0.014034848,-0.026739843,-0.040774692
238,Brandon Kintzler,-0.019064386,-0.02174531,-0.040809695
309,Brandon Workman,-0.049369309,0.008006915,-0.041362393
308,Chris Stratton,-0.04928479,0.007604954,-0.041679836
209,Kwang Hyun Kim,-0.012769208,-0.03058127,-0.043350478
227,Ryan Yarbrough,-0.016021173,-0.028617125,-0.044638298
342,A.J. Minter,-0.070946674,0.024187826,-0.046758848
270,Michael Fulmer,-0.030367129,-0.017207135,-0.047574264
290,Brett Anderson,-0.037786917,-0.010234218,-0.048021135
226,Hector Neris,-0.015702581,-0.034707575,-0.050410156
338,Mitch Keller,-0.065995055,0.01469892,-0.051296135
194,Marco Gonzales,-0.008605994,-0.043436124,-0.052042119
203,Tyler Duffey,-0.011813091,-0.042015703,-0.053828795
301,Jaime Barria,-0.043636625,-0.010483469,-0.054120095
313,Chase Anderson,-0.051116065,-0.003696843,-0.054812908
189,Sean Manaea,-0.007219196,-0.048106321,-0.055325517
225,Carlos Estevez,-0.01556092,-0.04024412,-0.05580504
251,Grant Dayton,-0.023344403,-0.032794368,-0.056138771
307,Jordan Lyles,-0.049127929,-0.007317826,-0.056445755
236,J.A. Happ,-0.018403597,-0.038999551,-0.057403148
235,Tony Gonsolin,-0.017715701,-0.040606464,-0.058322165
202,Joe Jimenez,-0.011806194,-0.046650314,-0.058456509
304,Adrian Morejon,-0.047229104,-0.011966806,-0.05919591
302,Taylor Clarke,-0.045409406,-0.014376276,-0.059785682
305,Kris Bubic,-0.047468998,-0.012534565,-0.060003563
299,Adbert Alzolay,-0.0417444,-0.018551192,-0.060295592
276,JT Brubaker,-0.031593063,-0.030992172,-0.062585235
306,Daniel Bard,-0.048612128,-0.01449218,-0.063104308
284,Anthony DeSclafani,-0.033569019,-0.029738185,-0.063307204
286,John Means,-0.033912065,-0.031334725,-0.06524679
300,Codi Heuer,-0.04274579,-0.023094099,-0.065839889
347,Blake Parker,-0.073222486,0.00656521,-0.066657275
172,Zach Plesac,-0.002755147,-0.064543235,-0.067298382
325,Austin Voth,-0.056027131,-0.0117085,-0.067735631
349,Mychal Givens,-0.08010673,0.011657716,-0.068449013
334,Ryan Castellani,-0.063910663,-0.004941659,-0.068852322
271,Brad Keller,-0.03041582,-0.039002258,-0.069418078
268,Drew Smyly,-0.029755731,-0.040121439,-0.06987717
156,Chasen Shreve,0.00242921,-0.073166985,-0.070737775
200,Tyler Matzek,-0.011226247,-0.059804669,-0.071030916
294,Austin Gomber,-0.039503257,-0.032027497,-0.071530754
265,Seth Lugo,-0.028715563,-0.044768758,-0.073484322
318,Kyle Gibson,-0.053667266,-0.019878819,-0.073546085
228,Trevor Williams,-0.016635914,-0.058011687,-0.0746476
218,Ryne Harper,-0.013718404,-0.061181244,-0.074899647
343,J.B. Wendelken,-0.070965268,-0.00498189,-0.075947158
333,Ian Anderson,-0.062877381,-0.013074286,-0.075951667
291,Jon Lester,-0.03781737,-0.03907865,-0.076896021
74,Madison Bumgarner,0.032124135,-0.111002238,-0.078878104
179,Tyler Webb,-0.005034727,-0.075064099,-0.080098826
267,Alex Young,-0.029050422,-0.051113577,-0.080163999
315,Caleb Thielbar,-0.052275402,-0.028654652,-0.080930054
346,Ryan Brasier,-0.072886695,-0.008691871,-0.081578566
332,David Peterson,-0.062037164,-0.01969828,-0.081735444
319,Tyler Clippard,-0.054163112,-0.027740025,-0.081903137
288,Joakim Soria,-0.035529812,-0.046428147,-0.081957958
314,Daniel Hudson,-0.051662849,-0.031655388,-0.083318237
317,Trevor Rogers,-0.053288748,-0.030165582,-0.08345433
356,Jeffrey Springs,-0.088317336,0.001102984,-0.087214352
337,Steven Brault,-0.065969356,-0.021387487,-0.087356843
310,Michael Lorenzen,-0.049791356,-0.038600339,-0.088391695
352,Adam Ottavino,-0.08479991,-0.004698832,-0.089498742
303,Josh Fleming,-0.046845693,-0.049902862,-0.096748555
312,Sixto Sanchez,-0.050982031,-0.046605192,-0.097587223
348,Sam Selman,-0.073905628,-0.024045955,-0.097951584
285,Jonathan Holder,-0.033649642,-0.064518649,-0.098168292
177,Jack Flaherty,-0.004881827,-0.093391265,-0.098273092
331,Jake Woodford,-0.060805972,-0.043079217,-0.103885188
345,Genesis Cabrera,-0.072359965,-0.032628073,-0.104988038
324,Erick Fedde,-0.055690602,-0.051027389,-0.106717991
344,Reynaldo Lopez,-0.071730277,-0.037964471,-0.109694748
327,Nick Nelson,-0.057194609,-0.053497497,-0.110692106
339,Masahiro Tanaka,-0.067365711,-0.046102654,-0.113468365
330,Casey Mize,-0.057923123,-0.058660127,-0.11658325
353,Jimmy Herget,-0.086315848,-0.031339004,-0.117654852
295,Alex Reyes,-0.039536208,-0.079057218,-0.118593426
316,John Curtiss,-0.053078613,-0.068590076,-0.121668689
350,Nick Vincent,-0.081091179,-0.041197342,-0.122288521
323,Carlos Martinez,-0.055668834,-0.068729314,-0.124398148
320,Phil Maton,-0.054472983,-0.069995494,-0.124468478
336,Aaron Slegers,-0.065451222,-0.061499297,-0.126950518
341,Tarik Skubal,-0.069563577,-0.064366474,-0.133930052
340,Chris Mazza,-0.067390106,-0.076496221,-0.143886328
263,Wes Benjamin,-0.028259637,-0.116023947,-0.144283585
357,Jorge Lopez,-0.091455179,-0.053522961,-0.14497814
359,Kyle Cody,-0.118160002,-0.047646409,-0.165806411
351,Keegan Akin,-0.081511926,-0.08719395,-0.168705876
355,Bryse Wilson,-0.087838807,-0.084787276,-0.172626083
282,Deivi Garcia,-0.033551215,-0.142159903,-0.175711118
258,Sandy Alcantara,-0.025771252,-0.150712733,-0.176483985
354,Dane Dunning,-0.087413965,-0.090430349,-0.177844313
358,Jose Urquidy,-0.097218413,-0.118388487,-0.2156069
326,Michael Pineda,-0.056792059,-0.163237962,-0.220030021
361,Chi Chi Gonzalez,-0.147648747,-0.082458927,-0.230107674
360,Jose Urena,-0.124526662,-0.118016251,-0.242542912
362,Dean Kremer,-0.169419051,-0.087505994,-0.256925045
